Day,Interest
2019-10-27,1
2019-10-28,2
2019-10-29,12
2019-10-30,34
2019-10-31,18
2019-11-01,15
2019-11-02,18
2019-11-03,25
2019-11-04,32
2019-11-05,45
2019-11-06,71
2019-11-07,100
2019-11-08,79
2019-11-09,82
2019-11-10,67
2019-11-11,64
2019-11-12,57
2019-11-13,48
2019-11-14,47
2019-11-15,61
2019-11-16,62
2019-11-17,43
2019-11-18,50
2019-11-19,54
2019-11-20,56
2019-11-21,46
2019-11-22,40
2019-11-23,40
2019-11-24,46
2019-11-25,42
2019-11-26,35
2019-11-27,35
2019-11-28,33
2019-11-29,32
2019-11-30,31
2019-12-01,31
2019-12-02,40
2019-12-03,36
2019-12-04,34
2019-12-05,33
2019-12-06,33
2019-12-07,23
2019-12-08,29
2019-12-09,29
2019-12-10,25
2019-12-11,28
2019-12-12,30
2019-12-13,31
2019-12-14,24
2019-12-15,21
2019-12-16,26
2019-12-17,28
2019-12-18,27
2019-12-19,22
2019-12-20,18
2019-12-21,20
2019-12-22,18
2019-12-23,16
2019-12-24,20
2019-12-25,17
2019-12-26,14
2019-12-27,15
2019-12-28,15
2019-12-29,16
2019-12-30,12
2019-12-31,15
2020-01-01,15
2020-01-02,12
2020-01-03,12
2020-01-04,12
2020-01-05,11
2020-01-06,13
2020-01-07,14
2020-01-08,13
2020-01-09,17
2020-01-10,35
2020-01-11,15
2020-01-12,12
2020-01-13,14
2020-01-14,14
2020-01-15,18
2020-01-16,24
2020-01-17,14
2020-01-18,10
2020-01-19,11
2020-01-20,9
2020-01-21,15
2020-01-22,14
2020-01-23,13
2020-01-24,13
2020-01-25,9
2020-01-26,13
2020-01-27,11
2020-01-28,14
2020-01-29,14
2020-01-30,11
2020-01-31,11
2020-02-01,9
2020-02-02,8
2020-02-03,11
2020-02-04,9
2020-02-05,11
2020-02-06,11
2020-02-07,11
2020-02-08,8
2020-02-09,7
2020-02-10,10
2020-02-11,10
2020-02-12,16
2020-02-13,13
2020-02-14,9
2020-02-15,8
2020-02-16,6
2020-02-17,6
2020-02-18,8
2020-02-19,8
2020-02-20,8
2020-02-21,9
2020-02-22,7
2020-02-23,6
2020-02-24,7
2020-02-25,8
2020-02-26,10
2020-02-27,9
2020-02-28,8
2020-02-29,5
2020-03-01,5
2020-03-02,6
2020-03-03,7
2020-03-04,7
2020-03-05,7
2020-03-06,7
2020-03-07,6
